id,gender,russian_form_1987,chechen_form_1987_normalized,source_status,canonical_today,auto_merge_people
ce-male-1987-195,male,Харон,ХӀарон,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-196,male,Хасан,Хьасан,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-197,male,Хасанбек,Хьасанбек,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-198,male,Хасбулат,Хасболат,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-199,male,Шамиль,Шемил,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-200,male,Шамсуддин,Шамсудди,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-201,male,Шахид,ШахӀид,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-202,male,Шерип,Шерип,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-203,male,Шугаип,ШоӀип,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-204,male,Эдил,Эдил,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-205,male,Эмин,Эмин,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-206,male,Юнус,Юнус,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-207,male,Юсуп,Юсуп,ATTESTED_1987_REVIEW_REQUIRED,false,false
ce-male-1987-208,male,Якуб,Якъуб,ATTESTED_1987_REVIEW_REQUIRED,false,false
